gene_index	gene_name
3	0610007N19Rik
35	1100001G20Rik
51	1110012J17Rik
54	1110017D15Rik
55	1110017F19Rik
59	1110020A21Rik
64	1110028F11Rik
68	1110032A04Rik
92	1190002F15Rik
93	1190002H23Rik
94	1190002N15Rik
110	1300014I06Rik
130	1500015O10Rik
139	1600010M07Rik
151	1600029D21Rik
152	1600029I14Rik
154	1700001C02Rik
164	1700001L19Rik
184	1700007K13Rik
195	1700009P17Rik
211	1700012B09Rik
228	1700016K19Rik
269	1700023F06Rik
273	1700024G13Rik
282	1700026D08Rik
285	1700026L06Rik
286	1700027A23Rik
391	1700086L19Rik
393	1700088E04Rik
399	1700094D03Rik
402	1700097N02Rik
435	1700123M08Rik
453	1810010H24Rik
455	1810011O10Rik
478	1810033B17Rik
502	2010001M06Rik
503	2010001M09Rik
504	2010002M12Rik
513	2010012O05Rik
528	2010204K13Rik
541	2210010C04Rik
550	2210020M01Rik
572	2310001H17Rik
589	2310007L24Rik
652	2310081J21Rik
666	2410004P03Rik
675	2410018M08Rik
720	2610028H24Rik
783	2810025M15Rik
801	2810417H13Rik
819	2900008C10Rik
827	2900055J20Rik
873	3300002I08Rik
878	3830403N18Rik
902	4832428D23Rik
909	4833422C13Rik
913	4833427G06Rik
1068	4930511I11Rik
1109	4930542D17Rik
1159	4930579G18Rik
1163	4930581F22Rik
1235	4933404M02Rik
1244	4933406I18Rik
1255	4933408B17Rik
1323	5031426D15Rik
1335	5330417C22Rik
1370	5730422E09Rik
1377	5730469M10Rik
1392	5830416I19Rik
1398	5830432E09Rik
1402	5930412G12Rik
1407	6030407O03Rik
1408	6030408B16Rik
1422	6330403K07Rik
1423	6330406I15Rik
1446	6430562O15Rik
1455	6530418L21Rik
1474	8430403D17Rik
1476	8430408G22Rik
1520	9230104L09Rik
1564	9530048J24Rik
1570	9530077C05Rik
1596	A130040M12Rik
1623	A330035P11Rik
1630	A330069E16Rik
1632	A330076H08Rik
1640	A430084P05Rik
1661	A530072M11Rik
1679	A630077J23Rik
1683	A730008H23Rik
1732	A930038C07Rik
1733	A930041C12Rik
1737	AA467197
1743	AA986860
1746	AB124611
1748	AF251705
1763	AI414108
1776	AI593442
1785	AI836003
1795	AK129341
1804	AU021092
1811	AU040972
1814	AV051173
1817	AW112010
1840	Aard
