gene_index	gene_name
50	Rpl7
120	Dst
162	Lyg1
172	Rpl31
183	Il1r2
221	Slc39a10
251	Hspd1
252	Hspe1
272	Aox4
312	Nrp2
317	Eef1b2
352	Lancl1
372	Rpl37a
373	Igfbp2
374	Igfbp5
405	Wnt10a
422	Tuba4a
452	Serpine2
466	Ccl20
492	Ncl
498	Ptma
540	Arl4c
550	Cxcr7
604	Bok
607	Dtymk
644	Serpinb5
645	Serpinb12
647	Serpinb3a
649	Serpinb3b
650	Serpinb3c
651	Serpinb11
653	Serpinb2
654	Serpinb10-ps
663	2900060B14Rik
675	Dbi
737	Nucks1
745	Nuak2
773	Btg2
774	Chit1
796	Elf3
803	Csrp1
804	Phlda3
808	Pkp1
849	Rgs2
860	Tpr
861	Prg4
879	Lamc2
893	Glul
897	Ier5
929	4930523C07Rik
939	Gas5
947	Prdx6
1017	Mgst3
1021	Pbx1
1029	Uap1
1062	Pvrl4
1066	F11r
1092	Tagln2
1095	Vsig8
1121	Ifi202b
1181	H3f3a
1198	Degs1
1249	Cenpf
1262	Fam71a
1263	Atf3
1289	Lamb3
1293	Plxna2
1323	Cnksr3
1369	Cited2
1372	3110003A17Rik
1377	Hebp2
1381	Perp
1382	Tnfaip3
1404	Sgk1
1419	Rps12
1441	Moxd1
1550	Cd24a
1559	Prdm1
1597	Gja1
1621	Ddit4
1690	Arid5b
1695	Cdk1
1696	Ank3
1734	Mif
1738	Chchd10
1799	Cstb
1857	Gpx4
1870	Rps15
1908	Gadd45b
1913	Thop1
1918	Eef2
1966	Txnrd1
1997	Hsp90b1
2031	Tmpo
2052	Metap2
2059	Tmcc3
2069	Nudt4
2072	Btg1
2075	Dcn
2086	Dusp6
2103	Nts
2128	Csrp2
2132	Nap1l1
2134	Phlda1
2176	Cpm
2177	Mdm2
2234	Cdk4
2256	Ndufa4l2
2278	Naca
2280	Atp5b
2301	Myl6
2305	Rpl41
2308	Rps26
2322	Cd63
2468	Ppia
2469	H2afv
2484	Igfbp3
2523	1110067D22Rik
2524	Peli1
2537	Cct4
2562	Efemp1
2569	Rps27a
2571	Rtn4
2604	Npm1
2625	Hmmr
2648	Clint1
2669	Gnb2l1
2714	Sqstm1
2741	Nhp2
2757	Skp1a
2777	Irf1
2778	Gm12216
2782	Pdlim4
2794	Hint1
2805	Sparc
2806	Atox1
2893	Rasd1
2919	Aldh3a1
2941	Ubb
2944	2410006H16Rik
2957	Pmp22
3014	Aloxe3
3015	Alox12b
3026	Kdm6b
3039	Eif4a1
3058	Kctd11
3063	Eif5a
3066	Cldn7
3092	Cxcl16
3110	Kif1c
3116	C1qbp
3130	Txndc17
3276	Rpl23a
3300	Tmem97
3308	Wsb1
3338	Ccl2
3390	Dusp14
3488	Nme2
3489	Nme1
3491	Tob1
3532	Phospho1
3588	Cisd3
3594	Rpl23
3602	Rpl19
3624	Gsdma
3629	Nr1d1
3638	Top2a
3639	Igfbp4
3644	Krt24
3649	Krt10
3652	Krt23
3655	Krtap3-3
3657	Krtap3-1
3691	Krt33a
3694	Krt31
3695	Krt32
3696	Krt35
3697	Krt36
3698	Krt13
3699	Krt15
3700	Krt19
3702	Krt14
3703	Krt16
3704	Krt17
3705	Krt42
3706	Eif1
3709	Jup
3710	Leprel4
3731	Ptrf
3760	Vat1
3873	Ddx5
3877	Kpna2
3914	Sox9
3954	Otop3
3965	Hn1
3981	Itgb4
3983	H3f3b
3994	Evpl
4020	Srsf2
4032	Tk1
4034	Birc5
4037	Socs3
4068	Baiap2
4078	Actg1
4094	P4hb
4109	Dcxr
4110	Cbr2
4116	Slc16a3
4134	Zfp750
4136	Metrnl
4171	Rhob
4174	Sdc1
4188	Vsnl1
4197	Fam84a
4209	Pdia6
4213	Odc1
4226	Grhl1
4229	Rrm2
4232	Id2
4244	Rps7
4259	Fam110c
4296	Sostdc1
4306	Arl4a
4309	Ifrd1
4316	Dnajb9
4341	Egln3
4359	Nfkbia
4370	Pax9
4399	Rps29
4489	Gpx2
4506	Rdh12
4509	Zfp36l1
4552	Acot1
4590	Fos
4664	Calm1
4702	Ifi27l2a
4714	Serpina9
4773	Dlk1
4852	Hsp90aa1
4866	Tnfaip2
4868	Eif5
4872	Ckb
4884	Aspg
4894	Siva1
4909	Crip2
4910	Crip1
4941	Calml3
4942	Calm4
4958	Klf6
4963	Idi1
5050	Hist1h1b
5056	Hist1h2ao
5119	Hist1h2ae
5128	Hist1h2bc
5132	Hist1h1c
5192	Sox4
5200	Dusp22
5205	Foxq1
5212	Serpinb1a
5226	Serpinb6a
5231	Tubb2a
5233	Tubb2b
5236	1300014I06Rik
5256	Dsp
5278	Edn1
5306	Dek
5310	Id4
5349	Cks2
5352	Gadd45g
5363	Msx2
5415	Cxcl14
5421	Tgfbi
