gene_index	gene_name
35	1100001G20Rik
54	1110017D15Rik
64	1110028F11Rik
93	1190002H23Rik
95	1190003J15Rik
119	1500004A13Rik
130	1500015O10Rik
135	1520402A15Rik
139	1600010M07Rik
151	1600029D21Rik
152	1600029I14Rik
154	1700001C02Rik
164	1700001L19Rik
165	1700001O22Rik
180	1700007G11Rik
184	1700007K13Rik
195	1700009P17Rik
228	1700016K19Rik
273	1700024G13Rik
281	1700025N23Rik
282	1700026D08Rik
285	1700026L06Rik
286	1700027A23Rik
297	1700028P14Rik
342	1700047M11Rik
358	1700057K13Rik
391	1700086L19Rik
393	1700088E04Rik
399	1700094D03Rik
408	1700105P06Rik
414	1700109F18Rik
454	1810011H11Rik
455	1810011O10Rik
478	1810033B17Rik
483	1810041L15Rik
503	2010001M09Rik
515	2010016I18Rik
524	2010109I03Rik
537	2200002D01Rik
541	2210010C04Rik
557	2210407C18Rik
572	2310001H17Rik
598	2310014F07Rik
626	2310043J07Rik
632	2310046A06Rik
638	2310057J18Rik
662	2410004A20Rik
666	2410004P03Rik
681	2410076I21Rik
703	2610002D18Rik
711	2610017I09Rik
714	2610019F03Rik
720	2610028H24Rik
724	2610034M16Rik
734	2610204G22Rik
738	2610305D13Rik
757	2700054A10Rik
782	2810021J22Rik
783	2810025M15Rik
785	2810030E01Rik
801	2810417H13Rik
815	2810474O19Rik
817	2900005J15Rik
823	2900026A02Rik
830	2900060B14Rik
862	3110057O12Rik
865	3110079O15Rik
904	4833412C05Rik
913	4833427G06Rik
972	4930415O20Rik
1001	4930444M15Rik
1021	4930455F23Rik
1052	4930487H11Rik
1061	4930503L19Rik
1085	4930523C07Rik
1104	4930538K18Rik
1152	4930578C19Rik
1164	4930583H14Rik
1216	4932438H23Rik
1218	4932443I19Rik
1235	4933404M02Rik
1340	5430402O13Rik
1351	5430421N21Rik
1357	5430435G22Rik
1387	5730590G19Rik
1390	5830411N06Rik
1392	5830416I19Rik
1393	5830416P10Rik
1430	6330415B21Rik
1444	6430548M08Rik
1457	6720401G13Rik
1464	6820408C15Rik
1476	8430408G22Rik
1495	9030624G23Rik
1502	9130015A21Rik
1508	9130024F11Rik
1527	9230116N13Rik
1567	9530053A07Rik
1568	9530059O14Rik
1583	9930005F22Rik
1585	9930013L23Rik
1596	A130040M12Rik
1597	A130049A11Rik
1602	A230020J21Rik
1610	A230065H16Rik
1620	A330021E22Rik
1624	A330040F15Rik
1627	A330049M08Rik
1630	A330069E16Rik
1640	A430084P05Rik
1645	A430105I19Rik
1659	A530064D06Rik
1682	A630095N17Rik
1701	A830007P12Rik
1720	A930006I01Rik
1737	AA467197
1748	AF251705
1767	AI450353
1769	AI463170
1771	AI467606
1780	AI607873
1784	AI662270
1785	AI836003
1790	AI848285
1804	AU021092
1811	AU040972
1817	AW112010
1819	AW146154
1827	AY074887
1848	Aatk
1860	Abca6
1862	Abca8a
1867	Abcb1a
1883	Abcc9
1892	Abcg1
1893	Abcg2
1917	Abi3
1922	Ablim2
1923	Ablim3
1925	Abp1
1928	Abpe
1949	Acan
1960	Acbd7
1963	Accn3
1969	Ace
2003	Acp5
2010	Acsbg1
2027	Acta1
2028	Acta2
2029	Actb
2031	Actg1
